keyword,canonical_keyword,volume,kd,cpc,serp_features,topical_silo,primary_entity,entity_id,entity_type,parent_entity,intent,intent_detail,geo_modifier,comparison_entity_a,comparison_entity_b,cluster_key,cluster_label,recommended_page_type,recommended_action,suggested_url,entity_existing_page,needs_manual_review,current_url,current_position,current_traffic,competitor_url,updated
mcdonald's menu,mcdonald's menu,507000,55,0.02,"People also ask, Video preview, Top stories, Thumbnail",Brand Core,McDonald's Menu,menu-hub,menu_hub,,overview,overview_menu,,,,menu-hub__overview_menu,McDonald's Menu - overview menu,hub,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/menu/,Yes,No,,,,https://www.mac-menus.com/,2026-05-03 09:24:37
mcdonald's breakfast menu,mcdonald's breakfast menu,116000,0,0.24,,Breakfast,Breakfast Menu,breakfast-menu,menu_guide,,overview,overview_menu,,,,breakfast-menu__overview_menu,Breakfast Menu - overview menu,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/breakfast-menu/,Yes,No,,,,https://www.mac-menus.com/mcdonalds-breakfast-menu-breakfast-meals-more-2025/,2026-05-04 08:42:54
mcdonalds breakfast,mcdonald's breakfast menu,75000,0,0.47,,Breakfast,Breakfast Menu,breakfast-menu,menu_guide,,overview,overview_menu,,,,breakfast-menu__overview_menu,Breakfast Menu - overview menu,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/breakfast-menu/,Yes,No,,,,https://www.mac-menus.com/mcdonalds-breakfast-menu-breakfast-meals-more-2025/,2026-05-03 05:53:03
mcdvoice,mcdvoice,49000,0,0.04,"Sitelinks, Video preview",Customer Journey,McDVoice Survey,mcdvoice,service_page,,service_task,service_survey,,,,mcdvoice__service_survey,McDVoice Survey - service survey,service,Create a new support page and interlink it from the main menu hub.,https://mcdomenuusa.com/mcdvoice/,No,No,,,,https://www.mac-menus.com/mcdvoice/,2026-05-04 00:40:03
mcdonalds breakfast menu,mcdonald's breakfast menu,44000,10,0.24,"People also ask, Top stories, Thumbnail, Video preview",Breakfast,Breakfast Menu,breakfast-menu,menu_guide,,overview,overview_menu,,,,breakfast-menu__overview_menu,Breakfast Menu - overview menu,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/breakfast-menu/,Yes,No,,,,https://www.mac-menus.com/mcdonalds-breakfast-menu-breakfast-meals-more-2025/,2026-05-01 13:21:29
mcchicken,mcchicken,30000,4,0.55,"People also ask, Top stories, Thumbnail, Video preview",Chicken & Fish,McChicken,chicken-mcchicken,product_variant,Chicken & Fish Menu,overview,overview_general,,,,chicken-mcchicken__overview_general,McChicken - overview general,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/chicken-fish/mcchicken/,Yes,No,,,,https://www.mac-menus.com/mcchicken/,2026-05-02 20:06:20
mcdonald's big mac,mcdonald's big mac,30000,51,0.07,"Sitelinks, People also ask, Top stories, Thumbnail, Video preview",Burgers,Big Mac,burgers-big-mac,product_variant,Burgers Menu,overview,overview_general,,,,burgers-big-mac__overview_general,Big Mac - overview general,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/big-mac/,Yes,No,,,,https://www.mac-menus.com/,2026-05-01 11:25:32
quarter pounder,quarter pounder,24000,4,0.1,"People also ask, Top stories, Thumbnail, Video preview",Burgers,Quarter Pounder with Cheese,burgers-quarter-pounder-with-cheese,product_variant,Burgers Menu,overview,overview_general,,,,burgers-quarter-pounder-with-cheese__overview_general,Quarter Pounder with Cheese - overview general,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/quarter-pounder-with-cheese/,Yes,No,,,,https://www.mac-menus.com/quarter-pounder-with-cheese/,2026-04-30 17:32:31
mcdonalds $5 meal deal,mcdonalds $5 meal deal,22000,13,0.37,"AI Overview, Thumbnail",Value & Deals,Extra Value Meals,extra-value-meals,menu_guide,,commercial,price_value,,,,extra-value-meals__price_value,Extra Value Meals - price value,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/extra-value-meals/,Yes,No,,,,https://www.mac-menus.com/the-mcdouble-5-meal-deal/,2026-05-05 03:43:11
mcdouble,mcdouble,19000,3,0.09,"People also ask, Top stories, Thumbnail, Video preview",Burgers,McDouble,burgers-mcdouble,product_variant,Burgers Menu,overview,overview_general,,,,burgers-mcdouble__overview_general,McDouble - overview general,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/mcdouble/,Yes,No,,,,https://www.mac-menus.com/mcdouble/,2026-05-01 23:24:24
